Maine, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
200301,-0.1,-2.9
200302,1.8,-2.0
200303,12.7,-3.0
200304,24.6,-3.6
200305,38.7,0.0
200306,49.3,1.1
200307,55.5,1.5
200308,56.4,4.6
200309,47.0,3.1
200310,35.4,1.1
200311,27.1,2.7
200312,14.3,4.4
200401,-2.0,-4.8
200402,7.1,3.3
200403,18.9,3.2
200404,29.1,0.9
200405,40.3,1.6
200406,46.0,-2.2
200407,54.7,0.7
200408,54.5,2.7
200409,44.4,0.5
200410,35.3,1.0
200411,25.2,0.8
200412,9.9,0.0
200501,1.0,-1.8
200502,8.5,4.7
200503,14.6,-1.1
200504,30.5,2.3
200505,38.4,-0.3
200506,51.5,3.3
200507,54.9,0.9
200508,54.1,2.3
200509,47.6,3.7
200510,39.7,5.4
200511,27.3,2.9
200512,13.6,3.7
200601,14.0,11.2
200602,10.5,6.7
200603,19.7,4.0
200604,31.0,2.8
200605,42.6,3.9
200606,53.8,5.6
200607,58.3,4.3
200608,50.8,-1.0
200609,45.1,1.2
200610,35.9,1.6
200611,31.8,7.4
200612,20.1,10.2
200701,7.9,5.1
200702,1.0,-2.8
200703,15.2,-0.5
200704,27.5,-0.7
200705,38.8,0.1
200706,49.3,1.1
200707,53.7,-0.3
200708,51.6,-0.2
200709,45.4,1.5
200710,39.9,5.6
200711,24.2,-0.2
200712,9.7,-0.2
200801,9.0,6.2
200802,8.6,4.8
200803,12.2,-3.5
200804,30.0,1.8
200805,37.8,-0.9
200806,51.5,3.3
200807,57.1,3.1
200808,53.6,1.8
200809,45.6,1.7
200810,34.7,0.4
200811,27.9,3.5
200812,10.3,0.4
200901,-3.2,-6.0
200902,8.4,4.6
200903,14.8,-0.9
200904,30.8,2.6
200905,39.2,0.5
200906,49.1,0.9
200907,54.3,0.3
200908,55.4,3.6
200909,42.5,-1.4
200910,33.7,-0.6
200911,29.7,5.3
200912,14.7,4.8
201001,12.4,9.6
201002,18.5,14.7
201003,24.7,9.0
201004,34.0,5.8
201005,41.7,3.0
201006,50.1,1.9
201007,58.9,4.9
201008,53.4,1.6
201009,49.2,5.3
201010,36.5,2.2
201011,26.7,2.3
201012,16.3,6.4
201101,7.2,4.4
201102,5.5,1.7
201103,16.6,0.9
201104,28.9,0.7
201105,42.6,3.9
201106,49.5,1.3
201107,56.0,2.0
201108,55.0,3.2
201109,48.6,4.7
201110,39.7,5.4
201111,29.0,4.6
201112,17.0,7.1
201201,8.9,6.1
201202,11.3,7.5
201203,23.5,7.8
201204,31.1,2.9
201205,43.4,4.7
201206,49.8,1.6
201207,56.0,2.0
201208,56.6,4.8
201209,44.5,0.6
201210,39.3,5.0
201211,24.5,0.1
201212,16.6,6.7
201301,5.7,2.9
201302,11.3,7.5
201303,22.5,6.8
201304,28.2,0.0
201305,40.2,1.5
201306,50.3,2.1
201307,57.7,3.7
201308,52.7,0.9
201309,46.6,2.7
201310,37.0,2.7
201311,24.0,-0.4
201312,9.3,-0.6
201401,4.9,2.1
201402,4.9,1.1
201403,6.4,-9.3
201404,28.0,-0.2
201405,41.1,2.4
201406,50.0,1.8
201407,56.6,2.6
201408,53.5,1.7
201409,44.8,0.9
201410,40.1,5.8
201411,24.2,-0.2
201412,19.4,9.5
201501,0.7,-2.1
201502,-5.8,-9.6
201503,10.2,-5.5
201504,27.2,-1.0
201505,42.8,4.1
201506,47.4,-0.8
201507,54.0,0.0
201508,56.8,5.0
201509,49.9,6.0
201510,33.1,-1.2
201511,28.7,4.3
201512,24.9,15.0
201601,11.4,8.6
201602,11.4,7.6
201603,19.8,4.1
201604,25.6,-2.6
201605,41.1,2.4
201606,48.9,0.7
201607,56.2,2.2
201608,55.2,3.4
201609,47.8,3.9
201610,37.4,3.1
201611,30.0,5.6
201612,11.6,1.7
201701,13.2,10.4
201702,10.5,6.7
201703,12.4,-3.3
201704,32.6,4.4
201705,40.6,1.9
201706,49.9,1.7
201707,54.1,0.1
201708,51.7,-0.1
201709,49.9,6.0
201710,41.1,6.8
201711,23.3,-1.1
201712,8.2,-1.7
201801,5.9,3.1
201802,12.0,8.2
201803,20.8,5.1
201804,26.7,-1.5
201805,39.4,0.7
201806,46.8,-1.4
201807,57.4,3.4
201808,57.5,5.7
201809,46.6,2.7
201810,34.4,0.1
201811,22.2,-2.2
201812,11.1,1.2
201901,4.1,1.3
201902,6.1,2.3
201903,13.2,-2.5
