Maryland, Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
198001,24.9,1.1
198002,20.8,-3.6
198003,30.6,-1.6
198004,43.1,2.2
198005,52.6,1.8
198006,56.8,-3.0
198007,65.2,0.6
198008,65.6,2.7
198009,59.1,2.8
198010,43.1,-1.7
198011,33.1,-1.9
198012,24.7,-2.0
198101,17.9,-5.9
198102,26.7,2.3
198103,30.2,-2.0
198104,44.3,3.4
198105,49.7,-1.1
198106,62.1,2.3
198107,64.9,0.3
198108,60.7,-2.2
198109,55.4,-0.9
198110,41.7,-3.1
198111,35.4,0.4
198112,26.1,-0.6
198201,16.5,-7.3
198202,26.0,1.6
198203,31.9,-0.3
198204,37.8,-3.1
198205,52.9,2.1
198206,58.9,-0.9
198207,65.1,0.5
198208,60.1,-2.8
198209,55.3,-1.0
198210,45.1,0.3
198211,37.9,2.9
198212,33.4,6.7
198301,26.0,2.2
198302,25.2,0.8
198303,35.7,3.5
198304,40.7,-0.2
198305,49.5,-1.3
198306,59.6,-0.2
198307,64.4,-0.2
198308,64.4,1.5
198309,55.4,-0.9
198310,46.8,2.0
198311,36.3,1.3
198312,24.8,-1.9
198401,19.3,-4.5
198402,30.8,6.4
198403,28.6,-3.6
198404,41.0,0.1
198405,50.7,-0.1
198406,60.9,1.1
198407,63.7,-0.9
198408,64.5,1.6
198409,53.0,-3.3
198410,52.2,7.4
198411,32.9,-2.1
198412,33.8,7.1
198501,19.8,-4.0
198502,25.6,1.2
198503,34.3,2.1
198504,43.7,2.8
198505,52.9,2.1
198506,58.8,-1.0
198507,64.2,-0.4
198508,63.3,0.4
198509,56.1,-0.2
198510,48.5,3.7
198511,43.6,8.6
198512,23.9,-2.8
198601,22.8,-1.0
198602,25.5,1.1
198603,32.1,-0.1
198604,41.9,1.0
198605,52.6,1.8
198606,60.1,0.3
198607,66.8,2.2
198608,61.9,-1.0
198609,57.4,1.1
198610,47.0,2.2
198611,34.9,-0.1
198612,28.8,2.1
198701,23.7,-0.1
198702,23.4,-1.0
198703,32.8,0.6
198704,41.6,0.7
198705,52.2,1.4
198706,62.3,2.5
198707,67.5,2.9
198708,63.9,1.0
198709,58.5,2.2
198710,38.8,-6.0
198711,36.7,1.7
198712,30.2,3.5
198801,18.4,-5.4
198802,25.3,0.9
198803,32.4,0.2
198804,40.6,-0.3
198805,51.6,0.8
198806,58.7,-1.1
198807,66.6,2.0
198808,66.7,3.8
198809,54.6,-1.7
198810,39.5,-5.3
198811,35.8,0.8
198812,25.8,-0.9
198901,28.0,4.2
198902,26.2,1.8
198903,32.9,0.7
198904,39.9,-1.0
198905,50.8,0.0
198906,63.9,4.1
198907,65.7,1.1
198908,64.5,1.6
198909,58.0,1.7
198910,45.8,1.0
198911,34.8,-0.2
198912,16.0,-10.7
199001,31.2,7.4
199002,30.9,6.5
199003,35.8,3.6
199004,42.3,1.4
199005,50.9,0.1
199006,60.0,0.2
199007,66.1,1.5
199008,63.7,0.8
199009,55.6,-0.7
199010,48.6,3.8
199011,36.7,1.7
199012,31.2,4.5
199101,25.4,1.6
199102,29.0,4.6
199103,35.8,3.6
199104,43.8,2.9
199105,57.0,6.2
199106,60.7,0.9
199107,67.4,2.8
199108,64.9,2.0
199109,55.7,-0.6
199110,44.9,0.1
199111,35.6,0.6
199112,30.0,3.3
199201,25.9,2.1
199202,28.0,3.6
199203,32.0,-0.2
199204,41.4,0.5
199205,48.2,-2.6
199206,57.4,-2.4
199207,66.1,1.5
199208,60.8,-2.1
199209,57.0,0.7
199210,42.0,-2.8
199211,37.8,2.8
199212,29.4,2.7
199301,29.2,5.4
199302,22.0,-2.4
199303,30.5,-1.7
199304,40.7,-0.2
199305,52.7,1.9
199306,59.7,-0.1
199307,67.5,2.9
199308,64.5,1.6
199309,57.8,1.5
199310,43.9,-0.9
199311,35.1,0.1
199312,26.6,-0.1
199401,17.7,-6.1
199402,23.2,-1.2
199403,31.9,-0.3
199404,45.6,4.7
199405,47.5,-3.3
199406,63.0,3.2
199407,67.6,3.0
199408,61.6,-1.3
199409,54.9,-1.4
199410,42.6,-2.2
199411,39.3,4.3
199412,31.6,4.9
199501,29.3,5.5
199502,22.4,-2.0
199503,34.5,2.3
199504,40.3,-0.6
199505,51.1,0.3
199506,61.5,1.7
199507,67.4,2.8
199508,65.4,2.5
199509,56.1,-0.2
199510,47.0,2.2
199511,31.7,-3.3
199512,24.4,-2.3
199601,22.2,-1.6
199602,25.5,1.1
199603,28.6,-3.6
199604,42.1,1.2
199605,50.5,-0.3
199606,61.9,2.1
199607,64.1,-0.5
199608,62.5,-0.4
199609,57.9,1.6
199610,45.3,0.5
199611,31.6,-3.4
199612,31.6,4.9
199701,24.3,0.5
199702,30.6,6.2
199703,34.6,2.4
199704,39.2,-1.7
199705,46.9,-3.9
199706,58.2,-1.6
199707,64.5,-0.1
199708,61.6,-1.3
199709,55.5,-0.8
199710,44.7,-0.1
199711,35.3,0.3
199712,29.2,2.5
199801,32.1,8.3
199802,32.3,7.9
199803,35.4,3.2
199804,43.5,2.6
199805,55.1,4.3
199806,61.0,1.2
199807,64.7,0.1
199808,64.0,1.1
199809,59.8,3.5
199810,46.2,1.4
199811,35.3,0.3
199812,32.1,5.4
199901,26.2,2.4
199902,27.6,3.2
199903,30.8,-1.4
199904,41.5,0.6
199905,51.0,0.2
199906,60.3,0.5
199907,67.6,3.0
199908,64.2,1.3
199909,57.8,1.5
199910,43.2,-1.6
199911,40.2,5.2
199912,29.9,3.2
200001,23.0,-0.8
200002,28.1,3.7
200003,36.7,4.5
200004,42.4,1.5
200005,53.7,2.9
200006,62.4,2.6
200007,62.5,-2.1
200008,63.4,0.5
200009,55.7,-0.6
200010,45.1,0.3
200011,33.3,-1.7
200012,20.5,-6.2
200101,23.7,-0.1
200102,28.1,3.7
200103,30.9,-1.3
200104,42.6,1.7
200105,51.3,0.5
200106,62.0,2.2
200107,61.6,-3.0
200108,66.2,3.3
200109,54.4,-1.9
200110,43.8,-1.0
200111,38.5,3.5
200112,33.1,6.4
200201,29.7,5.9
200202,28.2,3.8
200203,34.5,2.3
200204,44.8,3.9
200205,50.1,-0.7
200206,61.6,1.8
200207,66.6,2.0
200208,66.1,3.2
200209,58.5,2.2
200210,48.0,3.2
200211,35.9,0.9
200212,25.8,-0.9
200301,21.0,-2.8
200302,23.2,-1.2
200303,33.2,1.0
200304,41.7,0.8
200305,51.1,0.3
200306,60.2,0.4
200307,66.2,1.6
200308,67.1,4.2
200309,58.9,2.6
200310,43.7,-1.1
200311,40.3,5.3
200312,28.1,1.4
200401,19.9,-3.9
200402,24.8,0.4
200403,35.4,3.2
200404,44.3,3.4
200405,58.8,8.0
200406,60.9,1.1
200407,66.4,1.8
200408,64.2,1.3
200409,59.3,3.0
200410,46.3,1.5
200411,38.8,3.8
200412,28.2,1.5
200501,25.6,1.8
200502,26.9,2.5
